"Run 1: Time (s)","Run 1: Conductivity (µS/cm)","Run 1: Temperature (°C)"
128,1924.73144531,66.003698943
129,1918.79882812,66.1733739928
130,1912.86621094,66.4305529467
131,1905.68847656,66.559763263
132,1896.16699219,66.7742746979
133,1890.234375,66.949917488
134,1884.22851562,67.2094723832
135,1879.46777344,67.4302196523
136,1872.36328125,67.6956622649
137,1862.84179688,67.9164119549
138,1853.3203125,68.0505540384
139,1850.90332031,68.2733063595
140,1844.97070312,68.4557466077
141,1842.55371094,68.6362561065
142,1835.44921875,68.8623703627
143,1833.03222656,69.044771699
144,1829.44335938,69.3214012379
145,1824.68261719,69.6000138159
146,1818.75,69.7859184234
147,1811.57226562,70.0217259522
148,1805.63964844,70.3025419522
149,1799.70703125,70.54154077
150,1797.29003906,70.779093926
151,1791.35742188,70.9737501076
152,1790.18554688,71.1159427503
153,1785.42480469,71.3600863168
154,1784.1796875,71.6027970683
155,1781.8359375,71.8985323126
156,1778.24707031,72.0959617225
157,1768.72558594,72.2974867092
158,1760.37597656,72.5462895416
159,1755.61523438,72.7471388316
160,1753.27148438,73.0020548034
161,1749.68261719,73.2555699319
162,1744.921875,73.5139710943
163,1742.50488281,73.6692365164
164,1736.57226562,73.9273216293
165,1731.81152344,74.1357247357
166,1728.22265625,74.4003064011
167,1723.46191406,74.6635217586
168,1721.04492188,74.931900731
169,1717.52929688,75.1989284769
170,1715.11230469,75.4146125416
171,1710.3515625,75.6315633497
172,1705.59082031,75.8531653524
173,1699.65820312,75.9610904904
174,1691.30859375,76.181292869
175,1685.37597656,76.348168111
176,1680.61523438,76.5707104636
177,1675.78125,76.7393707371
178,1669.84863281,76.9643094159
179,1666.25976562,77.134797933
180,1663.91601562,77.3657007027
181,1661.49902344,77.6510940164
182,1660.32714844,77.8817419475
183,1656.73828125,78.1748160535
184,1653.14941406,78.3510815428
185,1651.97753906,78.7025632986
186,1647.21679688,79.0023777586
187,1643.62792969,79.1827296047
188,1638.8671875,79.3639870515
189,1634.10644531,79.4828528654
190,1630.51757812,79.6656294046
191,1627.00195312,79.9095288949
192,1625.75683594,80.1550939389
193,1622.24121094,80.3413284103
194,1616.23535156,80.5285345281
195,1613.89160156,80.7783875579
196,1609.13085938,81.0338811277
197,1606.71386719,81.1584168195
198,1600.78125,81.3499571495
